Área Geográfica,,Indicadores estratégicos de ocupación y empleo en el estado (2005-2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,,,,,,,,,,,2006,,,,,,,,,,,2007,,,,,,,,,,,2008,,,,,,,,,,,2009,,,,,,,,,,,2010,,,,,,,,,,,2011,,,,,,,,,,,2012,,,,,,,,,,,2013,,,,,,,,,,,2014,,,,,,,,,,
,,Ind ocupacion y empleo,,,,,,,,,,,Ind ocupacion y empleo,,,,,,,,,,,Ind ocupacion y empleo,,,,,,,,,,,Ind ocupacion y empleo,,,,,,,,,,,Ind ocupacion y empleo,,,,,,,,,,,Ind ocupacion y empleo,,,,,,,,,,,Ind ocupacion y empleo,,,,,,,,,,,Ind ocupacion y empleo,,,,,,,,,,,Ind ocupacion y empleo,,,,,,,,,,,Ind ocupacion y empleo,,,,,,,,,,
Clave,Nombre,Población de 14 y más años,Población de 14 y más años económicamente activa,Ocupada,Ocupada (hombres),Ocupada (mujeres),Desocupada,Desocupada (hombres),Desocupada (mujeres),Población de 14 y más años no económicamente activa,Disponible,No disponible,Población de 14 y más años,Población de 14 y más años económicamente activa,Ocupada,Ocupada (hombres),Ocupada (mujeres),Desocupada,Desocupada (hombres),Desocupada (mujeres),Población de 14 y más años no económicamente activa,Disponible,No disponible,Población de 14 y más años,Población de 14 y más años económicamente activa,Ocupada,Ocupada (hombres),Ocupada (mujeres),Desocupada,Desocupada (hombres),Desocupada (mujeres),Población de 14 y más años no económicamente activa,Disponible,No disponible,Población de 14 y más años,Población de 14 y más años económicamente activa,Ocupada,Ocupada (hombres),Ocupada (mujeres),Desocupada,Desocupada (hombres),Desocupada (mujeres),Población de 14 y más años no económicamente activa,Disponible,No disponible,Población de 14 y más años,Población de 14 y más años económicamente activa,Ocupada,Ocupada (hombres),Ocupada (mujeres),Desocupada,Desocupada (hombres),Desocupada (mujeres),Población de 14 y más años no económicamente activa,Disponible,No disponible,Población de 14 y más años,Población de 14 y más años económicamente activa,Ocupada,Ocupada (hombres),Ocupada (mujeres),Desocupada,Desocupada (hombres),Desocupada (mujeres),Población de 14 y más años no económicamente activa,Disponible,No disponible,Población de 14 y más años,Población de 14 y más años económicamente activa,Ocupada,Ocupada (hombres),Ocupada (mujeres),Desocupada,Desocupada (hombres),Desocupada (mujeres),Población de 14 y más años no económicamente activa,Disponible,No disponible,Población de 14 y más años,Población de 14 y más años económicamente activa,Ocupada,Ocupada (hombres),Ocupada (mujeres),Desocupada,Desocupada (hombres),Desocupada (mujeres),Población de 14 y más años no económicamente activa,Disponible,No disponible,Población de 14 y más años,Población de 14 y más años económicamente activa,Ocupada,Ocupada (hombres),Ocupada (mujeres),Desocupada,Desocupada (hombres),Desocupada (mujeres),Población de 14 y más años no económicamente activa,Disponible,No disponible,Población de 14 y más años,Población de 14 y más años económicamente activa,Ocupada,Ocupada (hombres),Ocupada (mujeres),Desocupada,Desocupada (hombres),Desocupada (mujeres),Población de 14 y más años no económicamente activa,Disponible,No disponible
01,Aguascalientes,724287,402274,383566,241033,142533,18708,12786,5922,322013,31955,290058,753727,423762,402738,252662,150076,21024,15086,5938,329965,37847,292118,769086,443964,419082,258908,160174,24882,16903,7979,325122,57173,267949,788618,451446,425958,269509,156449,25488,16329,9159,337172,65513,271659,809781,447252,413736,257248,156488,33516,23323,10193,362529,61922,300607,861393,484634,448720,274907,173813,35914,24127,11787,376759,47912,328847,867526,487201,457668,280718,176950,29533,20914,8619,380325,46431,333894,891363,499279,466462,287046,179416,32817,22149,10668,392084,45389,346695,917836,516700,485402,298774,186628,31298,22358,8940,401136,43785,357351,922772,528595,494884,302683,192201,33711,23538,10173,394177,55454,338723
02,Baja California,2017622,1148686,1129092,742830,386262,19594,10691,8903,868936,64503,804433,2114759,1216082,1196727,762176,434551,19355,9459,9896,898677,29395,869282,2186020,1253598,1220971,772416,448555,32627,21979,10648,932422,53814,878608,2253734,1314476,1280838,801837,479001,33638,21798,11840,939258,58867,880391,2323130,1388799,1303467,800371,503096,85332,56753,28579,934331,105550,828781,2394875,1397869,1316953,821549,495404,80916,51405,29511,997006,127472,869534,2451059,1402601,1326386,838899,487487,76215,44969,31246,1048458,148751,899707,2504183,1447388,1364750,842864,521886,82638,57200,25438,1056795,167610,889185,2550337,1484468,1419177,875602,543575,65291,43663,21628,1065869,183150,882719,2547954,1540741,1450550,885483,565067,90191,59135,31056,1007213,165372,841841
03,Baja California Sur,363970,216727,211030,139776,71254,5697,2798,2899,147243,6708,140535,375614,228892,223477,147682,75795,5415,2890,2525,146722,10438,136284,384257,239954,235284,154303,80981,4670,2969,1701,144303,15280,129023,405572,262445,255429,161021,94408,7016,3705,3311,143127,13385,129742,416958,273212,258189,160718,97471,15023,9405,5618,143746,18651,125095,485417,300473,281479,176954,104525,18994,12352,6642,184944,23618,161326,501089,312229,293581,181241,112340,18648,11980,6668,188860,19017,169843,520359,337626,318372,192731,125641,19254,9966,9288,182733,26100,156633,535589,342064,326356,199127,127229,15708,9545,6163,193525,25225,168300,548371,362246,343360,206531,136829,18886,11072,7814,186125,25149,160976
04,Campeche,531876,325324,317250,207095,110155,8074,5054,3020,206552,22401,184151,541479,332544,325473,209213,116260,7071,4235,2836,208935,21114,187821,553796,330912,321966,208625,113341,8946,6644,2302,222884,25814,197070,570401,344620,338317,222794,115523,6303,4212,2091,225781,23012,202769,579767,340896,333118,218097,115021,7778,4771,3007,238871,26394,212477,613942,367308,357708,233395,124313,9600,5604,3996,246634,32777,213857,619455,375184,366185,233720,132465,8999,6045,2954,244271,24930,219341,638640,396379,388739,247481,141258,7640,4210,3430,242261,26954,215307,659016,398385,388512,248548,139964,9873,5722,4151,260631,29899,230732,665594,399632,389269,252680,136589,10363,6078,4285,265962,31895,234067
05,Coahuila de Zaragoza,1790919,996958,946635,620398,326237,50323,31810,18513,793961,81962,711999,1803524,1033322,972430,635084,337346,60892,37549,23343,770202,93447,676755,1869544,1091362,1020697,667499,353198,70665,44582,26083,778182,86549,691633,1905072,1142177,1078081,698390,379691,64096,33229,30867,762895,109124,653771,1908107,1130649,1033820,659800,374020,96829,61248,35581,777458,118716,658742,2024573,1180227,1087039,687227,399812,93188,60222,32966,844346,151561,692785,2094395,1176232,1110948,722628,388320,65284,37160,28124,918163,121768,796395,2135405,1249097,1178802,748624,430178,70295,40800,29495,886308,151139,735169,2197391,1280291,1209674,765755,443919,70617,44330,26287,917100,125949,791151,2177598,1280816,1201181,753162,448019,79635,50903,28732,896782,118381,778401
06,Colima,418572,255175,247213,152099,95114,7962,5040,2922,163397,28703,134694,421318,265631,255825,153120,102705,9806,6537,3269,155687,23370,132317,430837,265872,258139,155169,102970,7733,5300,2433,164965,31451,133514,443485,285556,276176,163475,112701,9380,5849,3531,157929,39292,118637,447675,292869,280134,166466,113668,12735,7346,5389,154806,37172,117634,493973,315492,301466,180458,121008,14026,8239,5787,178481,38196,140285,509603,318404,305168,179316,125852,13236,8880,4356,191199,50082,141117,515396,338810,324583,191321,133262,14227,10112,4115,176586,41080,135506,530291,352458,332981,190733,142248,19477,11146,8331,177833,48617,129216,528368,346727,331487,191481,140006,15240,9542,5698,181641,41606,140035
07,Chiapas,2786280,1540468,1507759,1097674,410085,32709,19520,13189,1245812,119127,1126685,2833764,1553255,1525329,1104198,421131,27926,18492,9434,1280509,224020,1056489,2864171,1573567,1540937,1104161,436776,32630,18237,14393,1290604,230772,1059832,2937313,1627164,1579450,1117688,461762,47714,30449,17265,1310149,211942,1098207,3006024,1671812,1630361,1142751,487610,41451,29159,12292,1334212,233712,1100500,3335191,1890562,1846863,1298755,548108,43699,26702,16997,1444629,228632,1215997,3381524,1908882,1869976,1326383,543593,38906,25020,13886,1472642,237214,1235428,3452898,1960256,1918724,1335519,583205,41532,27325,14207,1492642,212219,1280423,3519460,1972722,1924559,1350587,573972,48163,32201,15962,1546738,231370,1315368,3506374,1953161,1900082,1378817,521265,53079,36019,17060,1553213,243895,1309318
08,Chihuahua,2365007,1259830,1217064,827886,389178,42766,28576,14190,1105177,106832,998345,2397322,1360683,1320975,870871,450104,39708,27433,12275,1036639,107360,929279,2443522,1404996,1348205,874633,473572,56791,38411,18380,1038526,145010,893516,2458076,1437601,1384501,925294,459207,53100,38462,14638,1020475,116904,903571,2523504,1423999,1305031,859709,445322,118968,76908,42060,1099505,177263,922242,2629077,1447351,1320145,877605,442540,127206,74755,52451,1181726,215291,966435,2568921,1354685,1253291,830066,423225,101394,64128,37266,1214236,197483,1016753,2703386,1438709,1337579,881210,456369,101130,73614,27516,1264677,186575,1078102,2730518,1528221,1445720,911526,534194,82501,52806,29695,1202297,173957,1028340,2695638,1516620,1442538,921267,521271,74082,41392,32690,1179018,194141,984877
09,Ciudad de México,6916894,4014437,3786575,2275193,1511382,227862,124423,103439,2902457,390214,2512243,6817795,4142256,3916031,2267122,1648909,226225,124930,101295,2675539,446408,2229131,6854171,4212334,3972346,2276299,1696047,239988,130303,109685,2641837,412067,2229770,6904026,4195733,3972930,2289940,1682990,222803,123252,99551,2708293,391549,2316744,7007862,4140635,3907773,2222095,1685678,232862,123204,109658,2867227,435779,2431448,7157281,4237783,3970672,2270305,1700367,267111,158439,108672,2919498,489538,2429960,7105240,4211470,3940725,2261325,1679400,270745,161657,109088,2893770,530119,2363651,7023961,4341200,4076965,2302550,1774415,264235,150286,113949,2682761,446112,2236649,7141153,4405688,4123611,2337811,1785800,282077,165230,116847,2735465,478725,2256740,7185782,4304579,4038317,2226709,1811608,266262,161654,104608,2881203,563521,2317682
10,Durango,1059694,574609,551024,373818,177206,23585,15123,8462,485085,79687,405398,1074076,572534,549396,374433,174963,23138,16864,6274,501542,64797,436745,1083241,587757,559152,375314,183838,28605,17475,11130,495484,110336,385148,1098067,601417,576578,383867,192711,24839,17401,7438,496650,95843,400807,1101205,598850,559944,371908,188036,38906,26200,12706,502355,95564,406791,1163817,632022,597711,391549,206162,34311,23334,10977,531795,105423,426372,1222622,649703,604543,405388,199155,45160,30775,14385,572919,111597,461322,1238757,701419,665306,433586,231720,36113,24493,11620,537338,140734,396604,1252457,704621,662882,438495,224387,41739,28612,13127,547836,154497,393339,1270891,717554,678038,439478,238560,39516,23820,15696,553337,133466,419871
11,Guanajuato,3335728,1906495,1817241,1130891,686350,89254,58973,30281,1429233,202568,1226665,3369216,1888363,1824387,1138360,686027,63976,44518,19458,1480853,241341,1239512,3462971,1928798,1853069,1167523,685546,75729,55448,20281,1534173,323474,1210699,3541986,1961695,1873512,1157319,716193,88183,64042,24141,1580291,373908,1206383,3530634,1970908,1855945,1136881,719064,114963,73692,41271,1559726,410019,1149707,3963807,2224240,2101728,1271401,830327,122512,82305,40207,1739567,490409,1249158,4043597,2275696,2129753,1262288,867465,145943,100394,45549,1767901,488193,1279708,4112619,2374330,2214221,1349748,864473,160109,107717,52392,1738289,514188,1224101,4211961,2431977,2280654,1376967,903687,151323,95823,55500,1779984,399117,1380867,4189873,2484056,2353990,1440804,913186,130066,77951,52115,1705817,348225,1357592
12,Guerrero,2059871,1070214,1054707,683429,371278,15507,11087,4420,989657,104211,885446,2079744,1094945,1082799,650775,432024,12146,9188,2958,984799,68337,916462,2071415,1159860,1147439,703451,443988,12421,7290,5131,911555,66571,844984,2113799,1220287,1204612,719223,485389,15675,7695,7980,893512,97665,795847,2152503,1197644,1178007,714681,463326,19637,14202,5435,954859,73470,881389,2361166,1359395,1328158,785866,542292,31237,18803,12434,1001771,79061,922710,2410169,1367579,1339229,793784,545445,28350,17548,10802,1042590,103877,938713,2449866,1394986,1359920,828704,531216,35066,23247,11819,1054880,72169,982711,2481112,1377571,1349288,835271,514017,28283,17505,10778,1103541,89163,1014378,2495965,1376412,1348371,841386,506985,28041,16043,11998,1119553,81275,1038278
13,Hidalgo,1642437,960803,929497,592412,337085,31306,16731,14575,681634,99842,581792,1673167,953007,919712,585564,334148,33295,14368,18927,720160,118667,601493,1709945,949143,905383,569644,335739,43760,25554,18206,760802,124761,636041,1697436,954791,919075,557769,361306,35716,22541,13175,742645,115704,626941,1744964,968709,921084,595581,325503,47625,25692,21933,776255,119613,656642,1895386,1050226,1006896,648412,358484,43330,27021,16309,845160,138433,706727,1956156,1087616,1037167,647640,389527,50449,31469,18980,868540,159585,708955,1999186,1095013,1045900,673415,372485,49113,27816,21297,904173,159033,745140,2051476,1196070,1131032,707481,423551,65038,45139,19899,855406,133835,721571,2065844,1178207,1124754,708698,416056,53453,31480,21973,887637,78699,808938
14,Jalisco,4771263,2943909,2832040,1728917,1103123,111869,70876,40993,1827354,184422,1642932,4800664,2972099,2855911,1747650,1108261,116188,74762,41426,1828565,208435,1620130,4874803,2983985,2879891,1776694,1103197,104094,59611,44483,1890818,257466,1633352,4964204,3105361,2994551,1834755,1159796,110810,62848,47962,1858843,250068,1608775,5048116,3099340,2930721,1786384,1144337,168619,118844,49775,1948776,303153,1645623,5366976,3314034,3143064,1912867,1230197,170970,120249,50721,2052942,311057,1741885,5511319,3379551,3215789,1956921,1258868,163762,101814,61948,2131768,313005,1818763,5633393,3470064,3316131,2018707,1297424,153933,100604,53329,2163329,327040,1836289,5676659,3480830,3328450,2013940,1314510,152380,87655,64725,2195829,294046,1901783,5777467,3490907,3311516,2002510,1309006,179391,113856,65535,2286560,292187,1994373
