Área Geográfica,,Indicadores estratégicos de ocupación y empleo en el estado (2005-2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,México,10004971,5789188,5470987,3566287,1904700,318201,186296,131905,4215783,387837,3827946,10112020,5896942,5651255,3562444,2088811,245687,160626,85061,4215078,399390,3815688,10336631,6058377,5700767,3593926,2106841,357610,191113,166497,4278254,510001,3768253,10540209,6125598,5777299,3625756,2151543,348299,214878,133421,4414611,560016,3854595,10880976,6161561,5761406,3676837,2084569,400155,254540,145615,4719415,605383,4114032,11400197,6540808,6087039,3850066,2236973,453769,305336,148433,4859389,476975,4382414,11677358,6706111,6297295,4074927,2222368,408816,298023,110793,4971247,502323,4468924,12025425,6936740,6506690,4111733,2394957,430050,287784,142266,5088685,506867,4581818,12227916,6917947,6486591,4134258,2352333,431356,262368,168988,5309969,607702,4702267,12498453,7337583,6911420,4322529,2588891,426163,279245,146918,5160870,533859,4627011
16,Michoacán de Ocampo,2771283,1559526,1524505,968501,556004,35021,18874,16147,1211757,303462,908295,2810639,1605488,1558156,962539,595617,47332,32898,14434,1205151,281738,923413,2813287,1581605,1536871,959199,577672,44734,27127,17607,1231682,345390,886292,2803234,1601932,1555995,968726,587269,45937,25751,20186,1201302,284268,917034,2791159,1606399,1554720,970719,584001,51679,35955,15724,1184760,293248,891512,3163741,1770549,1715505,1086566,628939,55044,33272,21772,1393192,278173,1115019,3247386,1796419,1740803,1140041,600762,55616,45003,10613,1450967,284739,1166228,3268575,1898864,1835555,1178580,656975,63309,43353,19956,1369711,347718,1021993,3251498,1906420,1835715,1141166,694549,70705,45029,25676,1345078,354570,990508,3297371,1896026,1833849,1159340,674509,62177,36621,25556,1401345,343330,1058015
17,Morelos,1158850,669291,651011,386514,264497,18280,9950,8330,489559,60081,429478,1187958,682619,665682,406748,258934,16937,12090,4847,505339,67586,437753,1193085,698014,674075,406578,267497,23939,12834,11105,495071,74665,420406,1212554,714875,692733,411837,280896,22142,14435,7707,497679,72212,425467,1251817,720771,695267,409960,285307,25504,16938,8566,531046,105169,425877,1356647,796267,763076,458973,304103,33191,18836,14355,560380,115506,444874,1379744,786922,758951,461538,297413,27971,20596,7375,592822,114692,478130,1389140,802315,776315,467523,308792,26000,17112,8888,586825,129873,456952,1403081,805611,772752,459404,313348,32859,21255,11604,597470,125086,472384,1433967,804715,775798,457020,318778,28917,16933,11984,629252,113464,515788
18,Nayarit,679513,421302,411236,256519,154717,10066,4569,5497,258211,46682,211529,681521,419574,407876,256672,151204,11698,6636,5062,261947,67952,193995,692460,422352,409710,255296,154414,12642,7128,5514,270108,69859,200249,693433,432326,418839,259264,159575,13487,8871,4616,261107,66955,194152,714066,440463,427020,264312,162708,13443,8458,4985,273603,82761,190842,809020,506648,488493,303346,185147,18155,10739,7416,302372,80307,222065,826933,519400,499696,312999,186697,19704,10978,8726,307533,83964,223569,848569,520527,494426,297302,197124,26101,16784,9317,328042,95214,232828,874412,554959,528312,312795,215517,26647,16582,10065,319453,84300,235153,874520,568751,539034,321173,217861,29717,16877,12840,305769,76671,229098
19,Nuevo León,3077234,1862888,1762696,1150663,612033,100192,54812,45380,1214346,168114,1046232,3122885,1924068,1834913,1181710,653203,89155,49126,40029,1198817,160684,1038133,3204160,2009827,1909779,1224436,685343,100048,57914,42134,1194333,188529,1005804,3264441,2031274,1937961,1240712,697249,93313,50812,42501,1233167,197579,1035588,3341053,2067475,1921594,1223945,697649,145881,85034,60847,1273578,226632,1046946,3574681,2198421,2047593,1294408,753185,150828,88881,61947,1376260,234638,1141622,3659169,2210615,2068905,1313368,755537,141710,86246,55464,1448554,312473,1136081,3706081,2240041,2115484,1334046,781438,124557,74373,50184,1466040,251681,1214359,3779735,2236804,2093055,1338225,754830,143749,92643,51106,1542931,270161,1272770,3806027,2222504,2099746,1345078,754668,122758,65940,56818,1583523,270978,1312545
20,Oaxaca,2415906,1381450,1355848,840963,514885,25602,14957,10645,1034456,169174,865282,2451067,1438769,1413761,839456,574305,25008,17522,7486,1012298,194081,818217,2468862,1371697,1344773,824074,520699,26924,14732,12192,1097165,180380,916785,2454534,1426636,1399487,843764,555723,27149,14317,12832,1027898,184752,843146,2482841,1442247,1406367,860883,545484,35880,24892,10988,1040594,190722,849872,2735290,1598422,1553623,944700,608923,44799,29061,15738,1136868,203529,933339,2765996,1585974,1532379,944091,588288,53595,33881,19714,1180022,251329,928693,2811873,1629718,1589455,947770,641685,40263,22889,17374,1182155,223206,958949,2844258,1622086,1572675,940757,631918,49411,31441,17970,1222172,254514,967658,2891080,1690362,1633553,967284,666269,56809,38718,18091,1200718,256774,943944
21,Puebla,3721788,2212415,2139834,1331666,808168,72581,42196,30385,1509373,265141,1244232,3723327,2209151,2126347,1293936,832411,82804,47038,35766,1514176,348847,1165329,3834549,2315030,2234171,1352090,882081,80859,43329,37530,1519519,337022,1182497,3960206,2296599,2213351,1328713,884638,83248,52260,30988,1663607,342700,1320907,3995836,2306746,2198927,1369553,829374,107819,67218,40601,1689090,452505,1236585,4152725,2399648,2297022,1408530,888492,102626,67347,35279,1753077,440298,1312779,4152974,2398923,2294640,1390690,903950,104283,62269,42014,1754051,393835,1360216,4269815,2533343,2436330,1492893,943437,97013,64042,32971,1736472,401343,1335129,4383025,2594443,2495443,1525636,969807,99000,57303,41697,1788582,402766,1385816,4460328,2649956,2541997,1550775,991222,107959,64538,43421,1810372,442032,1368340
22,Querétaro,1090221,624976,599274,370605,228669,25702,18150,7552,465245,82725,382520,1130370,661445,629147,384020,245127,32298,19358,12940,468925,96979,371946,1169187,673903,647812,391639,256173,26091,17082,9009,495284,103106,392178,1194197,682031,653760,401221,252539,28271,19228,9043,512166,113363,398803,1218017,692531,650623,393165,257458,41908,27119,14789,525486,131133,394353,1329551,733766,686113,438025,248088,47653,35852,11801,595785,120351,475434,1380042,770112,725419,441432,283987,44693,32678,12015,609930,103704,506226,1423051,788029,747011,456875,290136,41018,32499,8519,635022,91979,543043,1430422,771967,731651,459366,272285,40316,28906,11410,658455,121685,536770,1443317,755977,719208,450673,268535,36769,26536,10233,687340,93950,593390
23,Quintana Roo,782463,506041,492354,313797,178557,13687,5772,7915,276422,35567,240855,828749,545732,532293,335632,196661,13439,7992,5447,283017,33707,249310,865519,598025,582454,360793,221661,15571,7692,7879,267494,32466,235028,919133,642224,621115,380677,240438,21109,10579,10530,276909,44819,232090,969450,639183,616261,386770,229491,22922,14277,8645,330267,51802,278465,999889,665959,633446,389256,244190,32513,18433,14080,333930,58872,275058,1038866,687266,657639,407851,249788,29627,16730,12897,351600,51709,299891,1077873,722178,695536,425352,270184,26642,15462,11180,355695,46586,309109,1102965,720422,692015,430979,261036,28407,18514,9893,382543,47721,334822,1111422,728561,693121,442763,250358,35440,20818,14622,382861,49221,333640
24,San Luis Potosí,1654821,955895,925457,601166,324291,30438,17557,12881,698926,110585,588341,1689797,982021,957988,606883,351105,24033,13515,10518,707776,118060,589716,1715181,984534,951842,603284,348558,32692,21812,10880,730647,142098,588549,1731774,1022041,996092,631354,364738,25949,15462,10487,709733,117840,591893,1775524,1011114,970908,614859,356049,40206,26230,13976,764410,111473,652937,1896016,1045474,1001196,653665,347531,44278,26626,17652,850542,125877,724665,1922561,1063058,1019087,649880,369207,43971,26592,17379,859503,123638,735865,1931291,1041797,1011255,647670,363585,30542,16655,13887,889494,150697,738797,1993546,1082376,1046090,669619,376471,36286,23777,12509,911170,176045,735125,1994695,1105809,1075283,687068,388215,30526,18979,11547,888886,136813,752073
25,Sinaloa,1865336,1181359,1145608,752307,393301,35751,18693,17058,683977,159904,524073,1907776,1192046,1155445,730453,424992,36601,20208,16393,715730,198710,517020,1928163,1136355,1106767,705926,400841,29588,16213,13375,791808,189611,602197,1958163,1161153,1127326,716960,410366,33827,19567,14260,797010,167444,629566,1991715,1178807,1140266,734315,405951,38541,24805,13736,812908,163560,649348,2131872,1285704,1236982,767076,469906,48722,30918,17804,846168,192061,654107,2173720,1252593,1195409,756688,438721,57184,34717,22467,921127,190941,730186,2176854,1300522,1241904,749868,492036,58618,36472,22146,876332,184846,691486,2219405,1330135,1274801,789690,485111,55334,33129,22205,889270,185378,703892,2216507,1324154,1259696,776945,482751,64458,33983,30475,892353,198017,694336
26,Sonora,1730294,1007902,970453,631519,338934,37449,25623,11826,722392,46367,676025,1746110,1019662,990722,636149,354573,28940,15479,13461,726448,78276,648172,1757793,990473,965456,595706,369750,25017,13826,11191,767320,85847,681473,1803956,1044771,1003963,612275,391688,40808,29629,11179,759185,86295,672890,1859436,1056738,999293,627071,372222,57445,34475,22970,802698,108746,693952,1996393,1161043,1074290,672510,401780,86753,49402,37351,835350,184366,650984,2048883,1171006,1091029,669702,421327,79977,52808,27169,877877,162390,715487,2103870,1281417,1193300,741291,452009,88117,54644,33473,822453,149817,672636,2105844,1245440,1187698,740163,447535,57742,36682,21060,860404,155221,705183,2149924,1352144,1281825,781581,500244,70319,33674,36645,797780,160191,637589
27,Tabasco,1412208,736942,710338,509548,200790,26604,19102,7502,675266,50104,625162,1408434,772879,745252,523880,221372,27627,19560,8067,635555,132635,502920,1442253,813304,773385,520541,252844,39919,26679,13240,628949,106639,522310,1455697,831486,795477,532638,262839,36009,22217,13792,624211,110340,513871,1453844,817542,777469,530429,247040,40073,27192,12881,636302,111772,524530,1602656,918726,854392,561361,293031,64334,39728,24606,683930,117497,566433,1632241,928876,867995,576052,291943,60881,41965,18916,703365,108689,594676,1653617,913266,865168,574168,291000,48098,31607,16491,740351,138647,601704,1672624,924713,858349,571673,286676,66364,44147,22217,747911,142067,605844,1712695,965891,901575,597021,304554,64316,40707,23609,746804,133107,613697
28,Tamaulipas,2172372,1282363,1217455,782865,434590,64908,35471,29437,890009,111953,778056,2204122,1323728,1272517,803044,469473,51211,29230,21981,880394,121382,759012,2270472,1338233,1275417,795630,479787,62816,42242,20574,932239,149252,782987,2282216,1402776,1343332,837129,506203,59444,32500,26944,879440,135628,743812,2360702,1382496,1302452,813806,488646,80044,43163,36881,978206,153325,824881,2456073,1431566,1342209,833421,508788,89357,55271,34086,1024507,162257,862250,2500810,1452434,1355501,866890,488611,96933,55268,41665,1048376,196250,852126,2538972,1520667,1416479,867395,549084,104188,63658,40530,1018305,182068,836237,2580437,1551184,1437938,885451,552487,113246,66099,47147,1029253,212165,817088,2588671,1569892,1492108,923010,569098,77784,44663,33121,1018779,173445,845334
29,Tlaxcala,740521,410412,395307,259880,135427,15105,9492,5613,330109,51142,278967,757564,436786,411295,267141,144154,25491,13717,11774,320778,77369,243409,767407,446727,425106,266344,158762,21621,12077,9544,320680,86646,234034,790356,456654,431936,267430,164506,24718,13730,10988,333702,81426,252276,796655,434314,407811,255217,152594,26503,15057,11446,362341,83873,278468,838045,479557,447695,272650,175045,31862,17999,13863,358488,83778,274710,851452,486532,450845,274758,176087,35687,22482,13205,364920,80438,284482,874408,483606,455277,281574,173703,28329,17075,11254,390802,89129,301673,904120,529569,499625,300846,198779,29944,17378,12566,374551,73730,300821,906223,533892,505165,303580,201585,28727,16075,12652,372331,85272,287059
30,Veracruz de Ignacio de la Llave,5123482,2719662,2630137,1756674,873463,89525,62668,26857,2403820,490006,1913814,5159903,2786511,2718634,1802756,915878,67877,47710,20167,2373392,439344,1934048,5246236,2887628,2824805,1837481,987324,62823,40499,22324,2358608,440136,1918472,5320179,2957228,2867437,1855470,1011967,89791,51982,37809,2362951,365396,1997555,5288162,2913768,2835529,1871559,963970,78239,55689,22550,2374394,409551,1964843,5648019,3117173,3020047,1960954,1059093,97126,61130,35996,2530846,435068,2095778,5701848,3096012,2973076,1991454,981622,122936,88360,34576,2605836,504928,2100908,5816846,3228642,3121884,2020261,1101623,106758,71797,34961,2588204,567916,2020288,5940025,3219925,3131999,2029962,1102037,87926,60773,27153,2720100,557132,2162968,5946269,3235738,3121963,2061523,1060440,113775,74619,39156,2710531,510006,2200525
31,Yucatán,1307671,790549,770153,486112,284041,20396,12980,7416,517122,37415,479707,1328127,806601,788505,495196,293309,18096,10475,7621,521526,45495,476031,1356562,857814,841202,510318,330884,16612,7418,9194,498748,57404,441344,1376648,858497,837930,515162,322768,20567,10768,9799,518151,45024,473127,1422954,881855,857005,525338,331667,24850,16323,8527,541099,52619,488480,1490940,943438,915991,553631,362360,27447,13907,13540,547502,56151,491351,1503539,933872,907148,557789,349359,26724,13875,12849,569667,57804,511863,1534680,957810,929917,568300,361617,27893,15536,12357,576870,64822,512048,1553432,991903,959568,576166,383402,32335,17889,14446,561529,61325,500204,1562111,974426,950733,582395,368338,23693,11250,12443,587685,62266,525419
32,Zacatecas,955004,487591,472528,318783,153745,15063,10122,4941,467413,80017,387396,961971,508267,490117,320501,169616,18150,11626,6524,453704,115965,337739,960512,538391,513509,321135,192374,24882,14878,10004,422121,105117,317004,966255,507151,486636,308034,178602,20515,13800,6715,459104,111360,347744,976639,504690,481367,317071,164296,23323,14546,8777,471949,105006,366943,1071986,578839,544959,356562,188397,33880,18506,15374,493147,98740,394407,1079205,579261,539464,349902,189562,39797,26048,13749,499944,128689,371255,1106624,601658,562458,361249,201209,39200,24638,14562,504966,138788,366178,1114304,583932,552417,362390,190027,31515,21781,9734,530372,147332,383040,1123758,594003,561428,363912,197516,32575,23164,9411,529755,121337,408418
33,Extranjero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,No especificada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NS,No significativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,No disponible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"Cifra no publicable, por el principio de confidencialidad de la Ley de Información Estadística y Geográfica.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
